Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KOKO,Trial     4,A1,0:18:00-0:18:20,5.67887,44.6696,0,0,0,0,0,0,113.35,-0.0201231,1518.38
LD KOKO,Trial     4,A3,0:15:00-0:15:20,6.7793,186.527,1,1.96,0,0,0,0,135.586,-0.222439,7925.36
LD KOKO,Trial     4,A3,0:15:20-0:15:40,5.31186,28.9963,0,0,0,0,0,0,106.025,0.155933,1135.93
LD KOKO,Trial     4,A3,0:15:40-0:16:00,5.93494,37.7181,2,3.5,0,0,0,0,118.699,0.102107,1166.44
LD KOKO,Trial     4,A3,0:16:00-0:16:20,5.46441,37.1421,2,4.26,0,0,0,0,109.288,-0.0511103,1492.53
LD KOKO,Trial     4,A3,0:16:20-0:16:40,6.38011,34.7925,4,7.08,0,0,0,0,127.602,0.563057,1602.18
LD KOKO,Trial     4,A3,0:16:40-0:17:00,5.84876,81.1597,0,0,0,0,0,0,116.741,-0.487919,2595.41
LD KOKO,Trial     4,A3,0:17:00-0:17:20,5.01804,45.3383,1,2.46,0,0,0,0,100.361,-0.330849,1200.25
LD KOKO,Trial     4,A3,0:17:20-0:17:40,4.90838,42.7407,8,7.46,0,0,0,0,98.1676,-0.0538208,1191.63
LD KOKO,Trial     4,A3,0:17:40-0:18:00,4.61131,48.8044,3,9.02,0,0,0,0,92.2262,0.0957259,1900.51
LD KOKO,Trial     4,A3,0:18:00-0:18:20,5.32162,44.8482,5,2.06,0,0,0,0,106.22,0.281811,1298.7
LD KOKO,Trial     4,B4,0:15:00-0:15:20,6.07846,166.97,2,3.48,0,0,0,0,121.569,-0.855742,7128.94
LD KOKO,Trial     4,B4,0:15:20-0:15:40,5.81064,139.011,1,0.28,0,0,0,0,115.98,0.289581,6353.25
LD KOKO,Trial     4,B4,0:15:40-0:16:00,5.70052,43.5504,2,2.92,0,0,0,0,114.01,-0.190104,1631.73
LD KOKO,Trial     4,B4,0:16:00-0:16:20,5.19914,35.2565,2,2.12,0,0,0,0,103.983,0.211489,1254.02
LD KOKO,Trial     4,B4,0:16:20-0:16:40,5.49667,125.285,2,1.1,0,0,0,0,109.933,-0.156076,6048.08
LD KOKO,Trial     4,B4,0:16:40-0:17:00,5.43496,127.861,1,0.4,0,0,0,0,108.482,-0.0789964,5811.2
LD KOKO,Trial     4,B4,0:17:00-0:17:20,4.96221,44.9131,1,2.02,0,0,0,0,99.2441,0.345096,1844.25
LD KOKO,Trial     4,B4,0:17:20-0:17:40,5.24142,46.0918,18,2.14,0,0,0,0,104.828,-0.303161,1577.58
LD KOKO,Trial     4,B4,0:17:40-0:18:00,4.3889,38.3966,1,2.66,0,0,0,0,87.7779,0.0320651,1450.03
LD KOKO,Trial     4,B4,0:18:00-0:18:20,5.16818,105.779,2,3.64,0,0,0,0,103.157,-0.0625983,4940.15
LD KOKO,Trial     4,C5,0:15:00-0:15:20,3.43097,147.371,1,0.1,0,0,0,0,68.6193,-0.19147,5849.31
LD KOKO,Trial     4,C5,0:15:20-0:15:40,3.83885,115.005,1,1.7,0,0,0,0,76.6234,0.166293,4573.6
LD KOKO,Trial     4,C5,0:15:40-0:16:00,3.62523,85.418,1,1.7,0,0,0,0,72.5045,0.0988939,2920.79
LD KOKO,Trial     4,C5,0:16:00-0:16:20,3.55035,126.829,5,19.92,0,0,0,0,71.007,-0.314553,5110.52
LD KOKO,Trial     4,C5,0:16:20-0:16:40,3.0613,119.349,4,17.8,0,0,0,0,61.226,0.0183498,4952.52
LD KOKO,Trial     4,C5,0:16:40-0:17:00,3.65859,47.3624,1,0.16,0,0,0,0,73.0255,0.150988,1553.42
LD KOKO,Trial     4,C5,0:17:00-0:17:20,3.9015,159.61,1,15.74,0,0,0,0,78.0299,0.0887386,6623.82
LD KOKO,Trial     4,C5,0:17:20-0:17:40,3.65151,108.691,1,6.32,0,0,0,0,73.0303,-0.211727,4427.87
LD KOKO,Trial     4,C5,0:17:40-0:18:00,3.96495,127.257,5,0.96,0,0,0,0,79.2989,-0.0463018,5232.93
LD KOKO,Trial     4,C5,0:18:00-0:18:20,3.14557,25.9267,1,9.6,0,0,0,0,62.7856,-0.0164699,1059.21
LD KOKO,Trial     5,A2,0:15:00-0:15:20,3.13472,131.264,0,0,0,0,0,0,62.6944,-0.204595,4458.46
LD KOKO,Trial     5,A2,0:15:20-0:15:40,3.44598,34.8353,1,16.8,0,0,0,0,68.7817,0.218752,1075.46
LD KOKO,Trial     5,A2,0:15:40-0:16:00,2.92875,18.9122,1,10.34,0,0,0,0,58.5751,-0.00794876,684.349
LD KOKO,Trial     5,A2,0:16:00-0:16:20,2.98328,19.2794,19,10.42,0,0,0,0,59.6657,-0.284401,654.726
LD KOKO,Trial     5,A2,0:16:20-0:16:40,3.63598,82.3379,0,0,0,0,0,0,72.5741,0.155485,4024.13
LD KOKO,Trial     5,A2,0:16:40-0:17:00,3.82877,30.2895,12,16.06,0,0,0,0,76.4223,-0.198064,876.385
LD KOKO,Trial     5,A2,0:17:00-0:17:20,3.27572,27.381,16,7.86,0,0,0,0,65.5144,-0.0367989,995.889
LD KOKO,Trial     5,A2,0:17:20-0:17:40,2.39592,22.8296,0,0,0,0,0,0,47.9183,0.354339,1119.37
LD KOKO,Trial     5,A2,0:17:40-0:18:00,3.1989,16.6217,0,0,0,0,0,0,63.9781,-0.488928,518.051
LD KOKO,Trial     5,A2,0:18:00-0:18:20,3.77802,39.6979,0,0,0,0,0,0,75.5603,0.0330324,1159.82
LD KOKO,Trial     5,A5,0:15:00-0:15:20,5.19066,62.9372,2,9.7,0,0,0,0,103.813,-0.366126,2349.41
LD KOKO,Trial     5,A5,0:15:20-0:15:40,4.52063,138.609,1,0.1,0,0,0,0,90.2318,0.147356,5797.1
LD KOKO,Trial     5,A5,0:15:40-0:16:00,4.27304,95.1022,3,11.08,0,0,0,0,85.4608,0.139107,3449.74
LD KOKO,Trial     5,A5,0:16:00-0:16:20,4.03435,100.104,2,10.3,0,0,0,0,80.6869,-0.233706,3880.83
LD KOKO,Trial     5,A5,0:16:20-0:16:40,4.5309,104.851,3,4.42,0,0,0,0,90.4368,0.317691,4927.38
LD KOKO,Trial     5,A5,0:16:40-0:17:00,4.71754,115.107,0,0,0,0,0,0,94.1621,-0.650401,3769.05
LD KOKO,Trial     5,A5,0:17:00-0:17:20,3.89224,42.4377,0,0,0,0,0,0,77.8448,0.107025,1482.31
LD KOKO,Trial     5,A5,0:17:20-0:17:40,3.29347,80.0742,1,19.82,0,0,0,0,65.8695,0.00487833,3578.52
LD KOKO,Trial     5,A5,0:17:40-0:18:00,4.63639,117.181,27,1.88,0,0,0,0,92.7278,0.0288834,4417.42
LD KOKO,Trial     5,A5,0:18:00-0:18:20,3.43774,98.3357,3,14.84,0,0,0,0,68.7549,-0.118932,2855.85
LD KOKO,Trial     5,B3,0:15:00-0:15:20,4.85207,112.563,1,5.88,0,0,0,0,97.0413,0.209822,3868.93
LD KOKO,Trial     5,B3,0:15:20-0:15:40,4.19416,89.4692,1,2.36,0,0,0,0,83.7155,-0.328395,3766.35
LD KOKO,Trial     5,B3,0:15:40-0:16:00,3.4121,61.2497,0,0,0,0,0,0,68.2419,0.129513,2263.25
LD KOKO,Trial     5,B3,0:16:00-0:16:20,4.06401,130.713,8,1.82,0,0,0,0,81.2802,-0.137923,5507.78
LD KOKO,Trial     5,B3,0:16:20-0:16:40,3.85866,61.2181,0,0,0,0,0,0,77.0188,0.172504,1476.94
LD KOKO,Trial     5,B3,0:16:40-0:17:00,4.00014,34.121,4,6.52,0,0,0,0,79.8429,-0.0738057,801.402
LD KOKO,Trial     5,B3,0:17:00-0:17:20,4.35249,29.9439,0,0,0,0,0,0,87.0499,-0.0244047,976.06
LD KOKO,Trial     5,B3,0:17:20-0:17:40,3.80988,42.192,0,0,0,0,0,0,76.1975,0.0774562,1086.18
LD KOKO,Trial     5,B3,0:17:40-0:18:00,4.075,56.2303,1,3.6,0,0,0,0,81.5,0.169817,2559.5
LD KOKO,Trial     5,B3,0:18:00-0:18:20,3.17628,22.4976,0,0,0,0,0,0,63.5256,-0.111409,713.448
LD KOKO,Trial     5,B6,0:15:00-0:15:20,4.08217,166.808,1,0.1,0,0,0,0,81.6433,0.0188575,6728.66
LD KOKO,Trial     5,B6,0:15:20-0:15:40,3.36799,63.6895,0,0,0,0,0,0,67.2251,-0.221689,2204.45
LD KOKO,Trial     5,B6,0:15:40-0:16:00,2.59339,89.052,0,0,0,0,0,0,51.8677,0.0108011,2096.81
LD KOKO,Trial     5,B6,0:16:00-0:16:20,3.52175,113.443,0,0,0,0,0,0,70.435,0.136772,5546.62
LD KOKO,Trial     5,B6,0:16:20-0:16:40,3.23416,41.1965,0,0,0,0,0,0,64.5539,-0.177139,1368.86
LD KOKO,Trial     5,B6,0:16:40-0:17:00,4.34597,93.7186,2,14.26,0,0,0,0,86.7455,0.595757,4617.18
LD KOKO,Trial     5,B6,0:17:00-0:17:20,2.70436,102.447,1,19.9,0,0,0,0,54.0873,-0.0452003,3194.21
LD KOKO,Trial     5,B6,0:17:20-0:17:40,2.77522,88.0028,1,0.1,0,0,0,0,55.5043,0.0847362,4241.31
LD KOKO,Trial     5,B6,0:17:40-0:18:00,4.4521,82.0607,0,0,0,0,0,0,89.0419,-0.00509306,3467.8
LD KOKO,Trial     5,B6,0:18:00-0:18:20,2.38942,103.019,1,19.8,0,0,0,0,47.7884,-0.0497715,3299.08
LD KOKO,Trial     5,C1,0:15:00-0:15:20,6.21941,29.7087,1,0.2,0,0,0,0,124.388,0.29309,1367.24
LD KOKO,Trial     5,C1,0:15:20-0:15:40,5.33251,33.6928,1,1.92,0,0,0,0,106.437,-0.193442,1254.89
LD KOKO,Trial     5,C1,0:15:40-0:16:00,7.02513,79.9841,0,0,0,0,0,0,140.503,0.126249,3424.51
LD KOKO,Trial     5,C1,0:16:00-0:16:20,5.2565,38.7598,1,2.18,0,0,0,0,105.13,0.0169492,1596.58
LD KOKO,Trial     5,C1,0:16:20-0:16:40,5.16143,96.6835,1,0.04,0,0,0,0,103.022,0.0522613,4694.19
LD KOKO,Trial     5,C1,0:16:40-0:17:00,6.17119,39.6834,1,0.46,0,0,0,0,123.177,0.16757,1408.14
LD KOKO,Trial     5,C1,0:17:00-0:17:20,5.99969,33.2752,6,0.4,0,0,0,0,119.994,0.521439,1257.84
LD KOKO,Trial     5,C1,0:17:20-0:17:40,6.2395,89.455,0,0,0,0,0,0,124.79,-0.608424,4028.46
LD KOKO,Trial     5,C1,0:17:40-0:18:00,6.49394,79.2493,0,0,0,0,0,0,129.879,0.699203,3348.26
LD KOKO,Trial     5,C1,0:18:00-0:18:20,5.60689,44.7592,1,3.2,0,0,0,0,112.138,0.381262,1576.85
LD KOKO,Trial     6,A1,0:15:00-0:15:20,5.52917,126.179,4,3.44,0,0,0,0,110.583,0.153309,4759.08
LD KOKO,Trial     6,A1,0:15:20-0:15:40,6.37115,129.624,0,0,0,0,0,0,127.168,-0.166525,4375.43
LD KOKO,Trial     6,A1,0:15:40-0:16:00,5.07454,41.7513,0,0,0,0,0,0,101.491,0.269619,1207.67
LD KOKO,Trial     6,A1,0:16:00-0:16:20,5.92544,40.7548,4,7.66,0,0,0,0,118.509,-0.35045,1727.1
LD KOKO,Trial     6,A1,0:16:20-0:16:40,5.58278,42.9884,1,0.12,0,0,0,0,111.656,0.0435286,1568.28
LD KOKO,Trial     6,A1,0:16:40-0:17:00,4.53181,62.1288,1,1.8,0,0,0,0,90.455,0.299509,3064.93
LD KOKO,Trial     6,A1,0:17:00-0:17:20,5.79077,156.496,1,0.1,0,0,0,0,115.815,0.360805,6459.97
LD KOKO,Trial     6,A1,0:17:20-0:17:40,6.92494,81.2549,0,0,0,0,0,0,138.499,0.667649,2961.61
LD KOKO,Trial     6,A1,0:17:40-0:18:00,5.48459,127.083,3,5.24,0,0,0,0,109.692,-1.12036,4238.01
LD KOKO,Trial     6,A1,0:18:00-0:18:20,4.77355,36.597,1,3.24,0,0,0,0,95.4709,0.0172486,1489.98
LD KOKO,Trial     6,A3,0:15:00-0:15:20,4.64298,140.14,0,0,0,0,0,0,92.8597,0.249496,6210.7
LD KOKO,Trial     6,A3,0:15:20-0:15:40,5.82537,142.811,1,2.4,0,0,0,0,116.274,-0.137423,6566.61
LD KOKO,Trial     6,A3,0:15:40-0:16:00,2.92513,14.0283,4,19.94,0,0,0,0,58.5027,0.00956662,605.032
LD KOKO,Trial     6,A3,0:16:00-0:16:20,7.81251,160.22,2,2,0,0,0,0,156.25,0.0421198,5729.5
LD KOKO,Trial     6,A3,0:16:20-0:16:40,2.35582,11.923,1,20,0,0,0,0,47.1164,-0.00983488,459.828
LD KOKO,Trial     6,A3,0:16:40-0:17:00,3.80264,152.823,2,15.46,0,0,0,0,75.9007,0.56612,5976.27
LD KOKO,Trial     6,A3,0:17:00-0:17:20,5.36412,78.8178,9,2.54,0,0,0,0,107.282,-0.569091,3632.28
LD KOKO,Trial     6,A3,0:17:20-0:17:40,6.4933,100.87,3,9.22,0,0,0,0,129.866,0.0155166,4280.08
LD KOKO,Trial     6,A3,0:17:40-0:18:00,4.44593,84.2409,1,0.88,0,0,0,0,88.9187,0.0900313,2977.31
LD KOKO,Trial     6,A3,0:18:00-0:18:20,6.39393,100.562,5,8,0,0,0,0,127.879,0.140099,2999.43
LD KOKO,Trial     6,A6,0:15:00-0:15:20,5.71502,44.4933,3,6.7,0,0,0,0,114.3,0.011609,1765.87
LD KOKO,Trial     6,A6,0:15:20-0:15:40,6.32544,52.0222,0,0,0,0,0,0,126.256,-0.466732,1567.5
LD KOKO,Trial     6,A6,0:15:40-0:16:00,6.25112,38.418,1,0.84,0,0,0,0,125.022,0.263187,1704.19
LD KOKO,Trial     6,A6,0:16:00-0:16:20,6.9155,128.306,0,0,0,0,0,0,138.31,-0.0735313,4957.76
LD KOKO,Trial     6,A6,0:16:20-0:16:40,5.9485,46.5267,8,4.66,0,0,0,0,118.97,-0.353305,1634.81
LD KOKO,Trial     6,A6,0:16:40-0:17:00,6.51634,177.873,3,3.22,0,0,0,0,130.066,0.252875,7779.6
LD KOKO,Trial     6,A6,0:17:00-0:17:20,6.93946,70.2542,1,0.96,0,0,0,0,138.789,0.214007,2745.32
LD KOKO,Trial     6,A6,0:17:20-0:17:40,5.89883,73.1077,0,0,0,0,0,0,117.977,-0.0118602,2417.16
LD KOKO,Trial     6,A6,0:17:40-0:18:00,7.08384,81.2321,0,0,0,0,0,0,141.677,-0.356236,2337.55
LD KOKO,Trial     6,A6,0:18:00-0:18:20,7.36259,59.3131,0,0,0,0,0,0,147.252,0.13383,2012.86
LD KOKO,Trial     6,B2,0:15:00-0:15:20,8.13599,90.067,2,0.76,0,0,0,0,162.72,-0.185424,2841.99
LD KOKO,Trial     6,B2,0:15:20-0:15:40,7.2257,56.7814,1,0.78,0,0,0,0,144.225,0.260834,1704.65
LD KOKO,Trial     6,B2,0:15:40-0:16:00,7.50837,67.9604,1,0.54,0,0,0,0,150.167,-0.267149,3362.15
LD KOKO,Trial     6,B2,0:16:00-0:16:20,8.36447,169.228,1,0.04,0,0,0,0,167.289,0.0344589,4251.97
LD KOKO,Trial     6,B2,0:16:20-0:16:40,7.00525,158.85,0,0,0,0,0,0,140.105,0.0973739,4660.64
LD KOKO,Trial     6,B2,0:16:40-0:17:00,7.63594,150.072,1,0.94,0,0,0,0,152.413,0.0112969,6470.01
LD KOKO,Trial     6,B2,0:17:00-0:17:20,5.40023,47.4492,0,0,0,0,0,0,108.005,1.73301,1952.91
LD KOKO,Trial     6,B2,0:17:20-0:17:40,6.15005,103.333,0,0,0,0,0,0,123.001,-1.38118,3410.07
LD KOKO,Trial     6,B2,0:17:40-0:18:00,5.81512,33.5035,0,0,0,0,0,0,116.302,-0.586658,1077.85
LD KOKO,Trial     6,B2,0:18:00-0:18:20,6.19493,81.8213,0,0,0,0,0,0,123.899,0.253539,3739.61
LD KOKO,Trial     6,B3,0:15:00-0:15:20,5.56568,154.114,1,0.06,0,0,0,0,111.314,0.296987,7387.25
LD KOKO,Trial     6,B3,0:15:20-0:15:40,6.14311,113.097,0,0,0,0,0,0,122.617,-0.594376,5455.01
LD KOKO,Trial     6,B3,0:15:40-0:16:00,5.59604,124.513,0,0,0,0,0,0,111.921,-0.0114039,4102.04
LD KOKO,Trial     6,B3,0:16:00-0:16:20,5.89721,119.836,1,2.8,0,0,0,0,117.944,-0.0245394,4097.64
LD KOKO,Trial     6,B3,0:16:20-0:16:40,5.7932,49.005,0,0,0,0,0,0,115.864,0.43529,1130.05
LD KOKO,Trial     6,B3,0:16:40-0:17:00,5.69846,36.1365,0,0,0,0,0,0,113.741,0.105565,1521.67
LD KOKO,Trial     6,B3,0:17:00-0:17:20,5.3297,51.2248,1,2.32,0,0,0,0,106.594,-0.116283,2164.34
LD KOKO,Trial     6,B3,0:17:20-0:17:40,5.88892,119.087,1,3.9,0,0,0,0,117.778,-0.10242,5079.55
LD KOKO,Trial     6,B3,0:17:40-0:18:00,5.47388,130.113,2,2.88,0,0,0,0,109.478,0.0740456,4441.27
LD KOKO,Trial     6,B3,0:18:00-0:18:20,5.23825,118.98,0,0,0,0,0,0,104.765,-0.0439231,4856.26
LD KOKO,Trial     6,B6,0:15:00-0:15:20,4.03044,64.726,1,9.14,0,0,0,0,80.6088,0.0200793,2408.89
LD KOKO,Trial     6,B6,0:15:20-0:15:40,4.42587,99.214,1,11.38,0,0,0,0,88.3404,0.20266,4091.01
LD KOKO,Trial     6,B6,0:15:40-0:16:00,4.19678,65.3689,0,0,0,0,0,0,83.9355,-0.411608,2133.22
LD KOKO,Trial     6,B6,0:16:00-0:16:20,3.3316,90.458,0,0,0,0,0,0,66.632,0.146684,3328.96
LD KOKO,Trial     6,B6,0:16:20-0:16:40,2.79732,62.8166,0,0,0,0,0,0,55.9465,-0.0941889,2249.59
LD KOKO,Trial     6,B6,0:16:40-0:17:00,3.19715,77.1203,0,0,0,0,0,0,63.8151,-0.0912405,3396.3
LD KOKO,Trial     6,B6,0:17:00-0:17:20,4.62203,78.7788,1,6.86,0,0,0,0,92.4405,0.111035,3341.85
LD KOKO,Trial     6,B6,0:17:20-0:17:40,3.90736,161.864,0,0,0,0,0,0,78.1471,0.309301,6896.17
LD KOKO,Trial     6,B6,0:17:40-0:18:00,3.39718,161.343,0,0,0,0,0,0,67.9436,-0.418009,6727.62
LD KOKO,Trial     6,B6,0:18:00-0:18:20,3.42337,97.9741,1,11.74,0,0,0,0,68.4674,-0.0327381,3978.73
LD WT,Trial     4,A5,0:15:00-0:15:20,3.74428,55.777,1,7.58,0,0,0,0,74.8857,-0.0593051,1286.54
LD WT,Trial     4,A5,0:15:20-0:15:40,5.02825,118.264,1,0.1,0,0,0,0,100.364,0.320906,4744.37
LD WT,Trial     4,A5,0:15:40-0:16:00,4.23633,138.439,5,8.5,0,0,0,0,84.7267,0.264087,5723.55
LD WT,Trial     4,A5,0:16:00-0:16:20,4.57045,116.39,0,0,0,0,0,0,91.4091,-0.155746,4356.8
LD WT,Trial     4,A5,0:16:20-0:16:40,4.51942,72.3133,7,1.06,0,0,0,0,90.3883,0.388021,2713.71
LD WT,Trial     4,A5,0:16:40-0:17:00,3.96123,139.157,7,6.16,0,0,0,0,79.0662,-0.128358,5722.87
LD WT,Trial     4,A5,0:17:00-0:17:20,5.09844,114.26,1,5.58,0,0,0,0,101.969,-0.169349,4199.67
LD WT,Trial     4,A5,0:17:20-0:17:40,4.32115,104.416,0,0,0,0,0,0,86.4229,0.31329,5155.01
LD WT,Trial     4,A5,0:17:40-0:18:00,4.44108,133.654,1,3.16,0,0,0,0,88.8215,-0.168307,4985.81
LD WT,Trial     4,A5,0:18:00-0:18:20,3.83807,89.2915,1,10.12,0,0,0,0,76.6079,0.181686,3730.02
LD WT,Trial     4,B5,0:15:00-0:15:20,6.41056,94.9759,0,0,0,0,0,0,128.211,0.102594,3235.62
LD WT,Trial     4,B5,0:15:20-0:15:40,6.09998,151.158,2,1.26,0,0,0,0,121.756,-0.220513,6619.83
LD WT,Trial     4,B5,0:15:40-0:16:00,5.44212,139.56,0,0,0,0,0,0,108.842,0.0803508,6811.29
LD WT,Trial     4,B5,0:16:00-0:16:20,5.44344,140.825,1,4.62,0,0,0,0,108.869,0.00800392,5890.28
LD WT,Trial     4,B5,0:16:20-0:16:40,4.61963,119.398,1,0.18,0,0,0,0,92.3926,-0.092786,5303.67
LD WT,Trial     4,B5,0:16:40-0:17:00,4.65947,37.4263,0,0,0,0,0,0,93.0029,-0.049815,1392.62
LD WT,Trial     4,B5,0:17:00-0:17:20,5.44866,39.0034,1,1.82,0,0,0,0,108.973,0.149103,1358.81
LD WT,Trial     4,B5,0:17:20-0:17:40,5.66129,78.1761,2,0.06,0,0,0,0,113.226,-0.0275144,2829.97
LD WT,Trial     4,B5,0:17:40-0:18:00,5.91812,89.728,0,0,0,0,0,0,118.362,-0.0765229,3478.17
LD WT,Trial     4,B5,0:18:00-0:18:20,5.86809,135.442,0,0,0,0,0,0,117.127,-0.138499,5891.71
LD WT,Trial     4,C2,0:15:00-0:15:20,4.54677,140.167,0,0,0,0,0,0,90.9354,0.191749,6026.69
LD WT,Trial     4,C2,0:15:20-0:15:40,4.35753,36.3223,0,0,0,0,0,0,86.9763,-0.298906,1531.84
LD WT,Trial     4,C2,0:15:40-0:16:00,4.41415,73.7524,1,3.58,0,0,0,0,88.283,-0.17068,3080.07
LD WT,Trial     4,C2,0:16:00-0:16:20,4.00508,93.5197,0,0,0,0,0,0,80.1016,0.120778,3844.67
LD WT,Trial     4,C2,0:16:20-0:16:40,4.36773,31.211,2,3.52,0,0,0,0,87.3546,-0.0671679,1091.9
LD WT,Trial     4,C2,0:16:40-0:17:00,4.20135,33.1274,1,1.2,0,0,0,0,83.8589,-0.373448,984.722
LD WT,Trial     4,C2,0:17:00-0:17:20,4.2781,54.6282,1,2.08,0,0,0,0,85.562,0.0371408,2562.94
LD WT,Trial     4,C2,0:17:20-0:17:40,4.35141,112.442,0,0,0,0,0,0,87.0282,-0.146178,4652.47
LD WT,Trial     4,C2,0:17:40-0:18:00,4.05547,28.6943,0,0,0,0,0,0,81.1094,0.0305653,962.871
LD WT,Trial     4,C2,0:18:00-0:18:20,5.06067,112.651,0,0,0,0,0,0,101.011,-0.0530245,5316.3
LD WT,Trial     5,B1,0:15:00-0:15:20,5.29269,110.552,0,0,0,0,0,0,105.854,0.0404246,3782.38
LD WT,Trial     5,B1,0:15:20-0:15:40,5.9508,37.5477,2,1.34,0,0,0,0,118.778,-0.321935,1267.21
LD WT,Trial     5,B1,0:15:40-0:16:00,5.03949,88.9555,1,3.82,0,0,0,0,100.79,0.0325854,2913.65
LD WT,Trial     5,B1,0:16:00-0:16:20,4.93583,112.137,6,1.18,0,0,0,0,98.7167,0.0510788,4296.85
LD WT,Trial     5,B1,0:16:20-0:16:40,4.87427,135.351,1,4.2,0,0,0,0,97.2904,0.158344,5685.89
LD WT,Trial     5,B1,0:16:40-0:17:00,5.12804,32.4165,1,5.38,0,0,0,0,102.356,0.0247678,1485.64
LD WT,Trial     5,B1,0:17:00-0:17:20,4.52512,40.087,8,0.88,0,0,0,0,90.5023,0.0357306,1614.86
LD WT,Trial     5,B1,0:17:20-0:17:40,6.37663,44.8155,0,0,0,0,0,0,127.533,0.161239,1629.21
LD WT,Trial     5,B1,0:17:40-0:18:00,5.70468,97.04,2,2.12,0,0,0,0,114.094,0.0707985,3456.46
LD WT,Trial     5,B1,0:18:00-0:18:20,4.69773,67.1177,1,2.74,0,0,0,0,93.9545,-0.335924,1843.85
LD WT,Trial     5,B2,0:15:00-0:15:20,4.70737,105.742,1,0.22,0,0,0,0,94.1474,-0.15865,4427.61
LD WT,Trial     5,B2,0:15:20-0:15:40,5.25497,171.533,1,0.1,0,0,0,0,104.889,0.319848,7404.72
LD WT,Trial     5,B2,0:15:40-0:16:00,4.75684,199.857,0,0,0,0,0,0,95.1367,-0.0159655,8364.18
LD WT,Trial     5,B2,0:16:00-0:16:20,4.94353,98.7264,0,0,0,0,0,0,98.8706,-0.0845824,2084.48
LD WT,Trial     5,B2,0:16:20-0:16:40,5.56703,115.695,0,0,0,0,0,0,111.118,0.190142,5317.96
LD WT,Trial     5,B2,0:16:40-0:17:00,4.55648,152.469,0,0,0,0,0,0,90.9474,-0.067997,7214.09
LD WT,Trial     5,B2,0:17:00-0:17:20,4.55737,109.228,0,0,0,0,0,0,91.1474,0.0519051,3756.1
LD WT,Trial     5,B2,0:17:20-0:17:40,5.04675,120.161,1,0.4,0,0,0,0,100.935,0.0282083,5611.23
LD WT,Trial     5,B2,0:17:40-0:18:00,4.21944,87.0752,0,0,0,0,0,0,84.3888,-0.138004,2769.78
LD WT,Trial     5,B2,0:18:00-0:18:20,4.47368,37.0625,0,0,0,0,0,0,89.4737,0.064796,1049.57
LD WT,Trial     5,C6,0:15:00-0:15:20,5.17005,94.6691,1,0.98,0,0,0,0,103.401,-0.137459,3698.92
LD WT,Trial     5,C6,0:15:20-0:15:40,4.24383,134.021,44,2.68,0,0,0,0,84.7068,0.421548,5845.57
LD WT,Trial     5,C6,0:15:40-0:16:00,3.71008,46.0003,0,0,0,0,0,0,74.2017,0.129309,1604.12
LD WT,Trial     5,C6,0:16:00-0:16:20,3.55981,43.9917,2,4.46,0,0,0,0,71.1961,-0.0723129,1339.04
LD WT,Trial     5,C6,0:16:20-0:16:40,4.25757,44.7165,2,9.42,0,0,0,0,84.9811,0.146637,1832.15
LD WT,Trial     5,C6,0:16:40-0:17:00,4.63625,99.0374,0,0,0,0,0,0,92.5396,0.0553825,4564.15
LD WT,Trial     5,C6,0:17:00-0:17:20,3.39996,122.81,1,4.6,0,0,0,0,67.9992,0.0750084,4210.45
LD WT,Trial     5,C6,0:17:20-0:17:40,3.33503,45.359,23,8.6,0,0,0,0,66.7006,-0.0312728,1970.79
LD WT,Trial     5,C6,0:17:40-0:18:00,3.58501,52.1245,1,1.32,0,0,0,0,71.7002,0.0401184,2021.07
LD WT,Trial     5,C6,0:18:00-0:18:20,4.21944,54.0725,6,16.64,0,0,0,0,84.3889,0.0699699,2582.85
LD WT,Trial     6,B4,0:15:00-0:15:20,6.10612,104.391,0,0,0,0,0,0,122.122,-0.0188835,3566.52
LD WT,Trial     6,B4,0:15:20-0:15:40,4.99972,77.5585,8,7.22,0,0,0,0,99.7945,1.16519,3752.49
LD WT,Trial     6,B4,0:15:40-0:16:00,4.82435,142.542,3,2.44,0,0,0,0,96.4871,0.290556,6012.51
LD WT,Trial     6,B4,0:16:00-0:16:20,4.48864,109.86,1,2.84,0,0,0,0,89.7729,-0.476208,4399.39
LD WT,Trial     6,B4,0:16:20-0:16:40,5.33702,89.0911,0,0,0,0,0,0,106.74,0.256348,2984.4
LD WT,Trial     6,B4,0:16:40-0:17:00,4.17041,123.766,2,5.64,0,0,0,0,83.2413,-0.118148,5220.49
LD WT,Trial     6,B4,0:17:00-0:17:20,3.85141,51.1282,1,0.8,0,0,0,0,77.0283,-0.128796,1493.38
LD WT,Trial     6,B4,0:17:20-0:17:40,4.19875,29.2637,1,3.36,0,0,0,0,83.9749,-0.088956,1011.99
